scenario_name,policy_name,decision_count,switch_rate,base_penalty_ms,spike_penalty_ms,spike_probability,n_trials,mean_penalized_latency_ms,mean_penalized_latency_ci_low_ms,mean_penalized_latency_ci_high_ms,mean_penalized_decision_gap_ms,mean_penalized_decision_gap_ci_low_ms,mean_penalized_decision_gap_ci_high_ms,success_rate_under_60ms,success_rate_ci_low,success_rate_ci_high,p95_penalized_latency_ms,cvar95_penalized_latency_ms,mean_spike_event_rate
site_holdout,highest_reply_availability,119,0.5042016806722689,10.0,75.0,0.1,256,51.76098949802063,49.15873765978533,54.83100656734837,13.44058919078948,10.838337352554186,16.51060626011721,0.6769957983193277,0.6418067226890756,0.6974789915966386,96.38962924226787,125.99469471587625,0.05150341386554622
site_holdout,reactive_greedy,119,0.5714285714285714,10.0,75.0,0.1,256,51.97317042553862,49.53094353478232,54.96686790453021,13.652770118307465,11.210543227551163,16.64646759729906,0.7461594012605042,0.7058823529411765,0.7815126050420168,99.78800718486215,124.99982296899114,0.05777310924369748
site_holdout,predictive_greedy,119,0.3277310924369748,10.0,75.0,0.1,256,45.74385028844833,43.8481701413895,48.25993484727185,7.42344998121718,5.527769834158358,9.93953454004071,0.8377429096638657,0.8067226890756303,0.8571428571428571,79.74991896827424,106.10360888105114,0.03367909663865547
site_holdout,predictive_graph_greedy,119,0.42016806722689076,10.0,75.0,0.1,256,48.0145263984442,45.572299507687895,50.61431631441058,9.694126091213045,7.251899200456743,12.293916007179432,0.7853860294117648,0.7563025210084033,0.8151260504201681,91.15155511404134,116.73020256058108,0.04096638655462185
site_holdout,predictive_simple_fusion_greedy,119,0.31092436974789917,10.0,75.0,0.1,256,45.31580605671055,43.6392369915845,48.05100169746685,6.995405749479409,5.318836684353357,9.730601390235709,0.8395811449579833,0.8067226890756303,0.8623949579831933,76.68200738514071,101.69500017222533,0.03075761554621849
site_holdout,predictive_consensus_greedy,119,0.29411764705882354,10.0,75.0,0.1,256,45.119746718696376,43.18221389306613,47.35763406113336,6.7993464114652395,4.861813585834987,9.037233753902212,0.8413537289915968,0.8151260504201681,0.865546218487395,77.19758626052462,102.78963016567407,0.028985031512605043
site_holdout,ensemble_uncertainty_selector,119,0.33613445378151263,10.0,75.0,0.1,256,45.66077411537236,43.752784356969,48.16454906285135,7.340373808141224,5.432384049737862,9.844148755620212,0.8590795693277313,0.8266806722689075,0.8823529411764706,80.09049730124443,103.83063658228308,0.03384322478991597
site_holdout,conformal_uncertainty_selector,119,0.37815126050420167,10.0,75.0,0.1,256,46.72603019653472,44.55215283308935,48.963917538971714,8.40562988930358,6.231752525858202,10.643517231740553,0.8194918592436977,0.7899159663865546,0.8403361344537815,84.09403705606178,110.52049533916413,0.03738839285714286
site_holdout,disagreement_aware_selector,119,0.2773109243697479,10.0,75.0,0.1,256,44.72826457255345,42.56915874272151,46.980923448603875,6.40786426532231,4.248758435490377,8.66052314137273,0.8648568802521011,0.8319327731092437,0.8907563025210085,77.07171385677694,101.59683103304542,0.02878807773109244
operational_mild,random,28,0.32142857142857145,10.0,75.0,0.1,256,55.6330665311724,53.163758495458126,61.19947278117241,14.223855596347624,11.754547560633341,19.790261846347626,0.6224888392857142,0.5714285714285714,0.6428571428571429,82.0517898906366,97.941860750939,0.03292410714285714
operational_mild,best_historical_path,28,0.07142857142857142,10.0,75.0,0.1,256,47.50947251960362,46.99677720710363,49.67534863567506,6.100261584778844,5.587566272278843,8.26613770085027,0.7818080357142859,0.75,0.7857142857142857,67.7838637660773,75.52700086050513,0.0068359375
operational_mild,highest_reply_availability,28,0.6785714285714286,10.0,75.0,0.1,256,58.1339962773013,52.83963243801559,66.23248958087274,16.724785342476522,11.43042150319081,24.823278646047953,0.6683872767857142,0.5714285714285714,0.7142857142857143,99.68763807485166,117.78496059359686,0.07059151785714285
operational_mild,reactive_greedy,28,0.6785714285714286,10.0,75.0,0.1,256,56.72726026553253,51.31780156017539,64.71065870303254,15.318049330707762,9.908590625350618,23.301447768207762,0.6283482142857142,0.5357142857142857,0.6785714285714286,97.50262461433998,114.92500343178457,0.07212611607142856
