scenario_name,stratifier,stratum_level,candidate_count,mean_disagreement_ms,mean_abs_temporal_error_ms,service_failure_rate,spearman_disagreement_error,spearman_p_value
operational_moderate,site,ulukhaktok,36,4.97105758786299,23.558271141761374,0.5555555555555556,0.2947232947232947,0.08099794596059469
operational_moderate,site,victoria,9,7.611627304381626,20.303328269506533,0.3333333333333333,0.5833333333333334,0.09918581647988327
operational_moderate,site,victoria_hp1_proto2,9,7.095770544252143,24.59824748672659,0.5555555555555556,0.7333333333333334,0.024554150071469705
operational_moderate,site,zambia,9,11.48268705781215,31.58076066846087,0.8888888888888888,0.7666666666666667,0.01594401657897403
operational_moderate,site,dallas,9,8.003173104390548,26.625903800345988,0.6666666666666666,-0.08333333333333334,0.831214097710308
operational_moderate,site,denver,9,6.84943567674428,32.066303951560855,0.6666666666666666,0.35,0.35581957250178897
operational_moderate,site,ottawa,9,6.984348541928132,18.044710103176143,0.2222222222222222,0.5499999999999999,0.12497678418833194
operational_severe,reply_pressure,low,81,5.499254494753654,34.85233798630226,0.6172839506172839,0.05356820234869015,0.6348142904593714
operational_severe,reply_pressure,high,81,8.709588577449116,44.917390473400744,0.7160493827160493,0.5765582655826558,1.7726389206828576e-08
operational_severe,volatility,high,81,8.051082251832657,59.3862176295329,1.0,0.581323396567299,1.2673962879090857e-08
operational_severe,volatility,low,81,6.157760820370113,20.383510830170096,0.3333333333333333,0.3330171635049684,0.002383252471363707
operational_severe,time_of_day,night,81,7.344553228290419,39.6723644165291,0.6419753086419753,0.40411020776874435,0.0001830223533000457
operational_severe,time_of_day,day,81,6.86428984391235,40.09736404317391,0.691358024691358,0.29778681120144534,0.006934526395048644
operational_severe,site,brisbane,9,7.34591941429547,37.03204882848995,0.5555555555555556,0.09999999999999999,0.797971695234851
operational_severe,site,bruhl,9,6.596152636340978,45.756359656671435,0.7777777777777778,0.8333333333333333,0.005265691029161747
operational_severe,site,kanazawa,9,7.671711630552131,38.188037994073476,0.6666666666666666,0.6,0.08762282904140249
operational_severe,site,lincoln,9,7.544522079106274,43.04505866810002,0.7777777777777778,0.049999999999999996,0.8983528043506303
operational_severe,site,manila,9,7.407709952019711,40.07450047074596,0.6666666666666666,0.5,0.1704706607870538
operational_severe,site,minneapolis,9,7.209273827622484,35.88733342676479,0.5555555555555556,0.09999999999999999,0.797971695234851
operational_severe,site,seattle,9,7.167144311481227,45.35521253125333,0.7777777777777778,0.33333333333333337,0.38071318167686347
operational_severe,site,slc,9,6.883675071859216,25.283318847086207,0.3333333333333333,-0.11666666666666665,0.765007942926146
operational_severe,site,ulukhaktok,36,5.411505706479653,40.192222035605305,0.6666666666666666,0.3505791505791506,0.03605667200642276
operational_severe,site,victoria,9,7.187016373856447,41.24919714247191,0.6666666666666666,-0.18333333333333335,0.6368198117628943
operational_severe,site,victoria_hp1_proto2,9,7.713114797196492,31.10933710143076,0.4444444444444444,0.15,0.7000942309691418
operational_severe,site,zambia,9,11.316733738032175,40.51617655058254,0.8888888888888888,0.6833333333333333,0.04244227208707231
operational_severe,site,dallas,9,7.3573226959002165,48.878179846475895,0.8888888888888888,0.31666666666666665,0.406397014486386
operational_severe,site,denver,9,7.335268199731723,37.05044155802026,0.5555555555555556,0.6166666666666666,0.07692880993776312
operational_severe,site,ottawa,9,7.498000095911771,47.73346537273925,0.7777777777777778,0.8166666666666667,0.0072247852463587885
