comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,scenario_name
risk_adjusted_vs_ensemble_uncertainty,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,realized_cumulative_latency_3_ms,23,0.8176109842107222,0.0,-0.11406871603836004,2.243960188600922,3.0,0.22491588401596185,1.0,0.26822394886275436,0.08695652173913043,0.13043478260869565,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,cumulative_decision_gap_3_ms,23,0.8176109842107222,0.0,-0.11406871603836004,2.243960188600922,3.0,0.22491588401596185,1.0,0.26822394886275436,0.08695652173913043,0.13043478260869565,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,realized_cumulative_latency_5_ms,20,2.176489801328981,0.0,-3.0049102001616235,7.568500438949315,3.0,0.4652088184521418,1.0,0.16960047533245287,0.1,0.1,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,cumulative_decision_gap_5_ms,20,2.176489801328981,0.0,-3.0049102001616235,7.568500438949315,3.0,0.4652088184521418,1.0,0.16960047533245287,0.1,0.1,temporal_shift
risk_adjusted_vs_conformal_uncertainty,realized_next_latency_ms,28,-0.20012964687629747,0.0,-1.7893159238701846,1.5447839396357994,13.0,0.4838398513935682,1.0,-0.0433708197210327,0.17857142857142858,0.10714285714285714,temporal_shift
risk_adjusted_vs_conformal_uncertainty,decision_gap_ms,28,-0.20012964687629747,0.0,-1.7893159238701846,1.5447839396357994,13.0,0.4838398513935682,1.0,-0.0433708197210327,0.17857142857142858,0.10714285714285714,temporal_shift
risk_adjusted_vs_conformal_uncertainty,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,temporal_shift
risk_adjusted_vs_conformal_uncertainty,realized_cumulative_latency_3_ms,23,0.5507467879287582,0.0,-0.6504951758318726,2.1083155139905623,5.0,0.5001842570707944,1.0,0.15985463174283146,0.08695652173913043,0.13043478260869565,temporal_shift
risk_adjusted_vs_conformal_uncertainty,cumulative_decision_gap_3_ms,23,0.5507467879287582,0.0,-0.6504951758318726,2.1083155139905623,5.0,0.5001842570707944,1.0,0.15985463174283146,0.08695652173913043,0.13043478260869565,temporal_shift
risk_adjusted_vs_conformal_uncertainty,realized_cumulative_latency_5_ms,20,1.3333085097192565,0.0,-4.133138028793739,7.283556665861679,6.0,0.6858304344516057,1.0,0.09862311698337514,0.15,0.1,temporal_shift
risk_adjusted_vs_conformal_uncertainty,cumulative_decision_gap_5_ms,20,1.3333085097192565,0.0,-4.133138028793739,7.283556665861679,6.0,0.6858304344516057,1.0,0.09862311698337514,0.15,0.1,temporal_shift
risk_adjusted_vs_historical,realized_next_latency_ms,28,-0.48468827243731294,0.0,-2.141523083715443,1.33414582982633,25.0,0.272095182736126,1.0,-0.09899559296372633,0.2857142857142857,0.14285714285714285,temporal_shift
risk_adjusted_vs_historical,decision_gap_ms,28,-0.48468827243731294,0.0,-2.141523083715443,1.33414582982633,25.0,0.272095182736126,1.0,-0.09899559296372633,0.2857142857142857,0.14285714285714285,temporal_shift
risk_adjusted_vs_historical,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,temporal_shift
risk_adjusted_vs_historical,realized_cumulative_latency_3_ms,23,-1.6449446527606586,0.0,-3.522927909192141,-0.10097208691838425,10.0,0.07446183141740548,0.5212328199218383,-0.3969445809792403,0.30434782608695654,0.13043478260869565,temporal_shift
risk_adjusted_vs_historical,cumulative_decision_gap_3_ms,23,-1.6449446527606586,0.0,-3.522927909192141,-0.10097208691838425,10.0,0.07446183141740548,0.5212328199218383,-0.3969445809792403,0.30434782608695654,0.13043478260869565,temporal_shift
risk_adjusted_vs_historical,realized_cumulative_latency_5_ms,20,2.044613402487451,0.0,-2.6652124839265126,7.9451463410301875,22.0,0.9527650219907529,1.0,0.16016973004138713,0.3,0.15,temporal_shift
risk_adjusted_vs_historical,cumulative_decision_gap_5_ms,20,2.044613402487451,0.0,-2.6652124839265126,7.9451463410301875,22.0,0.9527650219907529,1.0,0.16016973004138713,0.3,0.15,temporal_shift
graph_vs_temporal,realized_next_latency_ms,28,-1.2618430395483387,0.0,-2.6745447856007276,-0.16567007964213465,5.0,0.0687035743228782,0.4809250202601474,-0.3656636670668863,0.21428571428571427,0.07142857142857142,temporal_shift
graph_vs_temporal,decision_gap_ms,28,-1.2618430395483387,0.0,-2.6745447856007276,-0.16567007964213465,5.0,0.0687035743228782,0.4809250202601474,-0.3656636670668863,0.21428571428571427,0.07142857142857142,temporal_shift
graph_vs_temporal,success_under_budget,28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,temporal_shift
graph_vs_temporal,realized_cumulative_latency_3_ms,23,0.5656859485064057,0.0,-0.35364925974710354,1.9752635933185885,5.0,0.5001842570707944,1.0,0.186026344018611,0.08695652173913043,0.13043478260869565,temporal_shift
graph_vs_temporal,cumulative_decision_gap_3_ms,23,0.5656859485064057,0.0,-0.35364925974710354,1.9752635933185885,5.0,0.5001842570707944,1.0,0.186026344018611,0.08695652173913043,0.13043478260869565,temporal_shift
graph_vs_temporal,realized_cumulative_latency_5_ms,19,-2.1285129074943225,0.0,-5.184048290388989,0.0,0.0,0.10880943004054569,0.7616660102838199,-0.36258124961740096,0.15789473684210525,0.0,temporal_shift
