policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,scenario_name
random,28,63.171715009480444,18.432350400340578,0.32142857142857145,0.39285714285714285,90.76684880895525,91.38762922498083,262.10267857142856,0.32142857142857145,operational_moderate
best_historical_path,28,58.65781739541165,13.918452786271786,0.32142857142857145,0.5714285714285714,90.76684880895525,91.38762922498083,272.59075000000007,0.07142857142857142,operational_moderate
highest_reply_availability,28,50.34294620690988,5.603581597770004,0.5,0.8214285714285714,86.41292158654521,96.56039903163666,248.37203571428572,0.6785714285714286,operational_moderate
reactive_greedy,28,47.927994033861914,3.1886294247220413,0.6428571428571429,0.8214285714285714,85.75577611254127,96.56039903163666,241.6696785714286,0.4642857142857143,operational_moderate
predictive_greedy,28,51.80174446526358,7.062379856123718,0.5714285714285714,0.7142857142857143,88.367326663229,90.50401143840621,273.5252857142857,0.5,operational_moderate
predictive_graph_greedy,28,52.40557472141934,7.666210112279473,0.4642857142857143,0.6785714285714286,88.367326663229,90.50401143840621,257.02382142857147,0.5,operational_moderate
predictive_simple_fusion_greedy,28,51.221059732923216,6.481695123783354,0.5714285714285714,0.75,88.367326663229,90.50401143840621,249.68435714285712,0.4642857142857143,operational_moderate
predictive_consensus_greedy,28,51.913440989753006,7.17407638061314,0.5714285714285714,0.7142857142857143,88.367326663229,90.50401143840621,251.3748571428571,0.42857142857142855,operational_moderate
ensemble_uncertainty_selector,28,48.40557743358206,3.666212824442205,0.6071428571428571,0.7857142857142857,83.12853664598133,88.70321114314847,248.8825,0.5714285714285714,operational_moderate
conformal_uncertainty_selector,28,50.290434221875906,5.551069612736043,0.5714285714285714,0.7142857142857143,88.367326663229,90.50401143840621,253.71575,0.4642857142857143,operational_moderate
disagreement_aware_selector,28,52.07680742158424,7.337442812444372,0.5357142857142857,0.7142857142857143,88.367326663229,90.50401143840621,251.8898928571428,0.42857142857142855,operational_moderate
random,28,74.95766061523193,22.539938426527677,0.39285714285714285,0.39285714285714285,109.21867375284239,112.29792614289775,258.01496428571426,0.32142857142857145,operational_severe
best_historical_path,28,77.05303169118973,24.635309502485462,0.42857142857142855,0.32142857142857145,109.21867375284239,112.29792614289775,259.29314285714287,0.07142857142857142,operational_severe
