policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,control_loop_latency_ms,stale_decision_rate,mean_feasible_candidate_count,no_feasible_candidate_rate,scenario_name
calibrated_fusion_selector,28,43.01230253537686,4.142918650342278,0.35714285714285715,0.8928571428571429,61.9088248020949,65.56376735810568,389.8779285714286,0.6428571428571429,43.01230253537686,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
disagreement_only_selector,28,42.97876209152638,4.109378206491793,0.39285714285714285,0.8928571428571429,61.9088248020949,65.56376735810568,367.5001071428572,0.6785714285714286,42.97876209152638,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
ensemble_uncertainty_selector,28,43.09407071531565,4.224686830281076,0.39285714285714285,0.8928571428571429,61.9088248020949,64.43500072693072,381.63550000000004,0.6071428571428571,43.09407071531565,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
conformal_uncertainty_selector,28,42.784696207039595,3.9153123220050134,0.39285714285714285,0.8928571428571429,61.9088248020949,64.43500072693072,377.302,0.6071428571428571,42.784696207039595,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
calibrated_operational_selector,28,42.084504070656024,3.215120185621437,0.42857142857142855,0.9285714285714286,59.74002072120238,61.60068419633321,393.27978571428565,0.5,42.084504070656024,59.74002072120238,0.0,0.0,4.821428571428571,0.0,temporal_holdout
switch_aware_operational_selector,28,41.469066736989916,2.5996828519553254,0.4642857142857143,0.9642857142857143,57.07585033961099,59.38279438294873,500.62039285714275,0.07142857142857142,41.469066736989916,57.07585033961099,0.0,0.0,4.821428571428571,0.0,temporal_holdout
random,119,43.96429623712116,5.643895929890019,0.4789915966386555,0.8319327731092437,72.1585947114305,77.66709456020388,464.13684033613447,0.18487394957983194,43.96429623712116,72.1585947114305,0.0,0.0,3.495798319327731,0.0,site_holdout
best_historical_path,119,43.1335910523512,4.8131907451200435,0.3445378151260504,0.7563025210084033,72.77792008346441,75.90312118170614,384.4943865546219,0.008403361344537815,43.1335910523512,72.77792008346441,0.0,0.0,3.495798319327731,0.0,site_holdout
highest_reply_availability,119,42.85621665138197,4.535816344150826,0.40336134453781514,0.8151260504201681,72.10028798300142,76.98026720264768,382.6292268907563,0.5042016806722689,42.85621665138197,72.10028798300142,0.0,0.0,3.495798319327731,0.0,site_holdout
reactive_greedy,119,41.925901517975596,3.6055012107444404,0.44537815126050423,0.8403361344537815,71.26037254901959,74.81031103835214,387.4776218487395,0.5714285714285714,41.925901517975596,71.26037254901959,0.0,0.0,3.495798319327731,0.0,site_holdout
