comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,block_bootstrap_p_value,scenario_name
operational_vs_temporal,realized_cumulative_latency_5_ms,111,0.3099108959474924,0.0,-2.792818143767069,3.060636062443017,144.0,0.8638867905449266,1.0,0.02295381750090727,0.09009009009009009,0.12612612612612611,0.8340829585207397,site_holdout
operational_vs_temporal,cumulative_decision_gap_5_ms,111,0.3099108959474924,0.0,-2.792818143767069,3.060636062443017,144.0,0.8638867905449266,1.0,0.02295381750090727,0.09009009009009009,0.12612612612612611,0.8340829585207397,site_holdout
operational_vs_graph,realized_next_latency_ms,119,-0.2392605439790492,0.0,-0.6899587914282759,0.3255933173934751,115.0,0.12439677550010478,0.8707774285007335,-0.09233370223704014,0.14285714285714285,0.07563025210084033,0.3248375812093953,site_holdout
operational_vs_graph,decision_gap_ms,119,-0.2392605439790492,0.0,-0.6899587914282759,0.3255933173934751,115.0,0.12439677550010478,0.8707774285007335,-0.09233370223704014,0.14285714285714285,0.07563025210084033,0.3248375812093953,site_holdout
operational_vs_graph,success_under_budget,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,site_holdout
operational_vs_graph,realized_cumulative_latency_3_ms,115,0.4918697935073243,0.0,-0.5921650082255058,1.7119252012961201,140.0,0.3672544095081207,1.0,0.08752508718995863,0.10434782608695652,0.12173913043478261,0.40429785107446276,site_holdout
operational_vs_graph,cumulative_decision_gap_3_ms,115,0.4918697935073243,0.0,-0.5921650082255058,1.7119252012961201,140.0,0.3672544095081207,1.0,0.08752508718995863,0.10434782608695652,0.12173913043478261,0.40429785107446276,site_holdout
operational_vs_graph,realized_cumulative_latency_5_ms,110,-0.24214588505341691,0.0,-1.4739082221734463,1.053906871356854,154.0,0.8190952935504228,1.0,-0.03293491320180514,0.10909090909090909,0.11818181818181818,0.7211394302848576,site_holdout
operational_vs_graph,cumulative_decision_gap_5_ms,110,-0.24214588505341691,0.0,-1.4739082221734463,1.053906871356854,154.0,0.8190952935504228,1.0,-0.03293491320180514,0.10909090909090909,0.11818181818181818,0.7211394302848576,site_holdout
operational_vs_fusion,realized_next_latency_ms,119,-0.023237562533488097,0.0,-0.7069766790994666,0.5813019285474366,52.0,0.6495629244115453,1.0,-0.006980144711149048,0.04201680672268908,0.08403361344537816,0.9330334832583708,site_holdout
operational_vs_fusion,decision_gap_ms,119,-0.023237562533488097,0.0,-0.7069766790994666,0.5813019285474366,52.0,0.6495629244115453,1.0,-0.006980144711149048,0.04201680672268908,0.08403361344537816,0.9330334832583708,site_holdout
operational_vs_fusion,success_under_budget,119,0.0,0.0,-0.03361344537815126,0.04201680672268908,5.0,1.0,1.0,0.0,0.01680672268907563,0.01680672268907563,1.0,site_holdout
operational_vs_fusion,realized_cumulative_latency_3_ms,114,0.4907849914327232,0.0,-1.091209715011597,2.022185629089605,44.0,0.5936182407945829,1.0,0.06098843686334218,0.05263157894736842,0.07017543859649122,0.5047476261869065,site_holdout
